"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2005","HU","Hungary","Total","Percentage of active population","Total","7.2"
"2005","MT","Malta","Total","Percentage of active population","Total","6.9"
"2005","NL","Netherlands","Total","Percentage of active population","Total","5.9"
"2005","AT","Austria","Total","Percentage of active population","Total","5.6"
"2005","PL","Poland","Total","Percentage of active population","Total","17.9"
"2005","PT","Portugal","Total","Percentage of active population","Total","8.8"
"2005","RO","Romania","Total","Percentage of active population","Total","7.1"
"2005","SI","Slovenia","Total","Percentage of active population","Total","6.5"
"2005","SK","Slovakia","Total","Percentage of active population","Total","16.4"
"2005","FI","Finland","Total","Percentage of active population","Total","8.4"
"2005","SE","Sweden","Total","Percentage of active population","Total","7.7"
"2005","UK","United Kingdom","Total","Percentage of active population","Total","4.8"
"2005","IS","Iceland","Total","Percentage of active population","Total","2.6"
"2005","NO","Norway","Total","Percentage of active population","Total","4.5"
"2005","TR","Turkey","Total","Percentage of active population","Total","9.5"
"2006","BE","Belgium","Total","Percentage of active population","Total","8.3"
"2006","BG","Bulgaria","Total","Percentage of active population","Total","9.0"
"2006","CZ","Czech Republic","Total","Percentage of active population","Total","7.1"
"2006","DK","Denmark","Total","Percentage of active population","Total","3.9"
"2006","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","10.1"
"2006","EE","Estonia","Total","Percentage of active population","Total","5.9"
"2006","IE","Ireland","Total","Percentage of active population","Total","4.5"
"2006","EL","Greece","Total","Percentage of active population","Total","9.0"
"2006","ES","Spain","Total","Percentage of active population","Total","8.5"
"2006","FR","France","Total","Percentage of active population","Total","8.8"
"2006","HR","Croatia","Total","Percentage of active population","Total","11.6"
"2006","IT","Italy","Total","Percentage of active population","Total","6.8"
"2006","CY","Cyprus","Total","Percentage of active population","Total","4.6"
"2006","LV","Latvia","Total","Percentage of active population","Total","7.0"
"2006","LT","Lithuania","Total","Percentage of active population","Total","5.8"
"2006","LU","Luxembourg","Total","Percentage of active population","Total","4.6"
"2006","HU","Hungary","Total","Percentage of active population","Total","7.5"
"2006","MT","Malta","Total","Percentage of active population","Total","6.8"
"2006","NL","Netherlands","Total","Percentage of active population","Total","5.0"
"2006","AT","Austria","Total","Percentage of active population","Total","5.3"
"2006","PL","Poland","Total","Percentage of active population","Total","13.9"
"2006","PT","Portugal","Total","Percentage of active population","Total","8.9"
"2006","RO","Romania","Total","Percentage of active population","Total","7.2"
"2006","SI","Slovenia","Total","Percentage of active population","Total","6.0"
"2006","SK","Slovakia","Total","Percentage of active population","Total","13.5"
"2006","FI","Finland","Total","Percentage of active population","Total","7.7"
"2006","SE","Sweden","Total","Percentage of active population","Total","7.1"
"2006","UK","United Kingdom","Total","Percentage of active population","Total","5.4"
"2006","IS","Iceland","Total","Percentage of active population","Total","2.9"
"2006","NO","Norway","Total","Percentage of active population","Total","3.4"
"2006","TR","Turkey","Total","Percentage of active population","Total","9.0"
"2007","BE","Belgium","Total","Percentage of active population","Total","7.5"
"2007","BG","Bulgaria","Total","Percentage of active population","Total","6.9"
"2007","CZ","Czech Republic","Total","Percentage of active population","Total","5.3"
"2007","DK","Denmark","Total","Percentage of active population","Total","3.8"
"2007","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.5"
"2007","EE","Estonia","Total","Percentage of active population","Total","4.6"
"2007","IE","Ireland","Total","Percentage of active population","Total","4.7"
"2007","EL","Greece","Total","Percentage of active population","Total","8.4"
"2007","ES","Spain","Total","Percentage of active population","Total","8.2"
"2007","FR","France","Total","Percentage of active population","Total","8.0"
"2007","HR","Croatia","Total","Percentage of active population","Total","9.9"
"2007","IT","Italy","Total","Percentage of active population","Total","6.1"
"2007","CY","Cyprus","Total","Percentage of active population","Total","3.9"
"2007","LV","Latvia","Total","Percentage of active population","Total","6.1"
"2007","LT","Lithuania","Total","Percentage of active population","Total","4.3"
"2007","LU","Luxembourg","Total","Percentage of active population","Total","4.2"
"2007","HU","Hungary","Total","Percentage of active population","Total","7.4"
"2007","MT","Malta","Total","Percentage of active population","Total","6.5"
"2007","NL","Netherlands","Total","Percentage of active population","Total","4.2"
"2007","AT","Austria","Total","Percentage of active population","Total","4.9"
"2007","PL","Poland","Total","Percentage of active population","Total","9.6"
"2007","PT","Portugal","Total","Percentage of active population","Total","9.1"
"2007","RO","Romania","Total","Percentage of active population","Total","6.4"
"2007","SI","Slovenia","Total","Percentage of active population","Total","4.9"
"2007","SK","Slovakia","Total","Percentage of active population","Total","11.2"
"2007","FI","Finland","Total","Percentage of active population","Total","6.9"
"2007","SE","Sweden","Total","Percentage of active population","Total","6.1"
"2007","UK","United Kingdom","Total","Percentage of active population","Total","5.3"
"2007","IS","Iceland","Total","Percentage of active population","Total","2.3"
"2007","NO","Norway","Total","Percentage of active population","Total","2.5"
