"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2008","LV","T","Y15-74","TOTAL","PC","7.7"
"2008","LT","T","Y15-74","TOTAL","PC","5.8"
"2008","LU","T","Y15-74","TOTAL","PC","5.1"
"2008","HU","T","Y15-74","TOTAL","PC","7.8"
"2008","MT","T","Y15-74","TOTAL","PC","6.0"
"2008","NL","T","Y15-74","TOTAL","PC","2.8"
"2008","AT","T","Y15-74","TOTAL","PC","4.1"
"2008","PL","T","Y15-74","TOTAL","PC","7.1"
"2008","PT","T","Y15-74","TOTAL","PC","7.7"
"2008","RO","T","Y15-74","TOTAL","PC","5.8"
"2008","SI","T","Y15-74","TOTAL","PC","4.4"
"2008","SK","T","Y15-74","TOTAL","PC","9.5"
"2008","FI","T","Y15-74","TOTAL","PC","6.4"
"2008","SE","T","Y15-74","TOTAL","PC","6.2"
"2008","UK","T","Y15-74","TOTAL","PC","5.6"
"2008","IS","T","Y15-74","TOTAL","PC","2.9"
"2008","NO","T","Y15-74","TOTAL","PC","2.5"
"2008","CH","T","Y15-74","TOTAL","PC","3.4"
"2008","MK","T","Y15-74","TOTAL","PC","33.8"
"2008","TR","T","Y15-74","TOTAL","PC","9.8"
"2009","BE","T","Y15-74","TOTAL","PC","7.9"
"2009","BG","T","Y15-74","TOTAL","PC","6.8"
"2009","CZ","T","Y15-74","TOTAL","PC","6.7"
"2009","DK","T","Y15-74","TOTAL","PC","6.0"
"2009","DE","T","Y15-74","TOTAL","PC","7.8"
"2009","EE","T","Y15-74","TOTAL","PC","13.5"
"2009","IE","T","Y15-74","TOTAL","PC","12.0"
"2009","EL","T","Y15-74","TOTAL","PC","9.6"
"2009","ES","T","Y15-74","TOTAL","PC","17.9"
"2009","FR","T","Y15-74","TOTAL","PC","8.7"
"2009","HR","T","Y15-74","TOTAL","PC","9.2"
"2009","IT","T","Y15-74","TOTAL","PC","7.8"
"2009","CY","T","Y15-74","TOTAL","PC","5.4"
"2009","LV","T","Y15-74","TOTAL","PC","17.5"
"2009","LT","T","Y15-74","TOTAL","PC","13.8"
"2009","LU","T","Y15-74","TOTAL","PC","5.1"
"2009","HU","T","Y15-74","TOTAL","PC","10.0"
"2009","MT","T","Y15-74","TOTAL","PC","6.9"
"2009","NL","T","Y15-74","TOTAL","PC","3.4"
"2009","AT","T","Y15-74","TOTAL","PC","5.3"
